TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
25,402,Friday,471370000000.0,1,MENS WEAR,5434.0
25,402,Friday,60764550778.0,1,MENS WEAR,673.0
25,402,Friday,82815975.0,1,MENS WEAR,2203.0
7,413,Friday,1200028617.0,1,DSD GROCERY,3054.0
7,413,Friday,7142900211.0,1,FROZEN FOODS,1902.0
7,413,Friday,7007700140.0,1,FROZEN FOODS,1902.0
7,413,Friday,78616200297.0,1,DSD GROCERY,3006.0
25,449,Friday,75838562196.0,1,MENS WEAR,1563.0
25,449,Friday,74070053894.0,1,MENS WEAR,4921.0
25,449,Friday,2227570140.0,1,SPORTING GOODS,8263.0
25,449,Friday,63401130010.0,1,SPORTING GOODS,8267.0
25,462,Friday,67293603608.0,1,PLUS AND MATERNITY,404.0
25,462,Friday,82298236363.0,1,PLUS AND MATERNITY,111.0
25,462,Friday,80859471151.0,1,PLUS AND MATERNITY,8140.0
25,462,Friday,67811201746.0,1,PHARMACY OTC,1102.0
38,466,Friday,5100000803.0,1,DSD GROCERY,4651.0
38,466,Friday,5100014756.0,1,DSD GROCERY,9820.0
38,466,Friday,3120027015.0,1,DSD GROCERY,4639.0
38,466,Friday,7874235191.0,1,DSD GROCERY,9208.0
38,466,Friday,7229003238.0,1,FROZEN FOODS,1201.0
38,473,Friday,2700062324.0,1,DSD GROCERY,3008.0
38,473,Friday,2265530044.0,1,PRE PACKED DELI,7199.0
38,473,Friday,7146410005.0,1,PRODUCE,7704.0
38,473,Friday,4812121681.0,1,COMM BREAD,3405.0
25,482,Friday,2840043393.0,1,IMPULSE MERCHANDISE,808.0
25,482,Friday,60156043702.0,1,LADIESWEAR,1745.0
25,482,Friday,78905060401.0,1,LADIESWEAR,1903.0
25,482,Friday,9933894209.0,1,LADIESWEAR,1180.0
25,482,Friday,82986404530.0,1,LADIESWEAR,944.0
7,487,Friday,2800074542.0,1,"CANDY, TOBACCO, COOKIES",82.0
7,487,Friday,4145810534.0,1,FROZEN FOODS,2006.0
7,500,Friday,20279300000.0,1,SERVICE DELI,4042.0
7,500,Friday,7464100426.0,1,PRODUCE,5953.0
7,500,Friday,68113191678.0,1,SERVICE DELI,3051.0
25,507,Friday,22500100000.0,1,SERVICE DELI,8027.0
25,507,Friday,73975429835.0,1,MENS WEAR,1231.0
25,507,Friday,20577400000.0,1,SERVICE DELI,8015.0
25,507,Friday,74815911753.0,1,GROCERY DRY GOODS,2219.0
38,531,Friday,7874208175.0,1,DAIRY,1344.0
38,531,Friday,7080004126.0,1,PRE PACKED DELI,7202.0
38,531,Friday,7874208176.0,1,DAIRY,1344.0
38,531,Friday,7874208177.0,1,DAIRY,1344.0
25,567,Friday,8768400114.0,2,DSD GROCERY,4624.0
25,567,Friday,4069.0,1,PRODUCE,8501.0
25,567,Friday,4067.0,1,PRODUCE,8002.0
25,567,Friday,896110000000.0,1,BOYS WEAR,4648.0
25,567,Friday,896110000000.0,2,BOYS WEAR,4648.0
25,567,Friday,88295696363.0,1,BOYS WEAR,5533.0
25,567,Friday,85126400310.0,1,PRODUCE,905.0
25,567,Friday,68113109133.0,1,PRODUCE,7650.0
25,576,Friday,88530616471.0,1,SLEEPWEAR/FOUNDATIONS,1253.0
25,576,Friday,2919844715.0,1,MENS WEAR,609.0
38,577,Friday,2100061541.0,1,GROCERY DRY GOODS,4601.0
38,577,Friday,7874243359.0,1,GROCERY DRY GOODS,3901.0
38,577,Friday,1700013225.0,1,PERSONAL CARE,3155.0
38,577,Friday,2800046298.0,1,GROCERY DRY GOODS,2992.0
38,577,Friday,2900000825.0,1,DAIRY,1251.0
38,577,Friday,4900000044.0,1,DSD GROCERY,9546.0
38,577,Friday,7874212296.0,1,DAIRY,1507.0
38,577,Friday,6791452627.0,1,IMPULSE MERCHANDISE,347.0
38,577,Friday,2430004320.0,1,COMM BREAD,3709.0
38,577,Friday,7874201566.0,1,DAIRY,7955.0
38,577,Friday,3620021920.0,1,GROCERY DRY GOODS,2400.0
25,604,Friday,74876334936.0,1,MENS WEAR,2049.0
25,604,Friday,80240400562.0,2,HOME MANAGEMENT,8103.0
25,604,Friday,4679877841.0,1,PETS AND SUPPLIES,7407.0
25,604,Friday,8398531409.0,1,HOME MANAGEMENT,8463.0
25,604,Friday,8398531409.0,1,HOME MANAGEMENT,8463.0
25,604,Friday,8398531409.0,-1,HOME MANAGEMENT,8463.0
7,605,Friday,20271800000.0,1,SERVICE DELI,4042.0
7,605,Friday,6132837716.0,2,HOUSEHOLD PAPER GOODS,3090.0
7,605,Friday,68113107862.0,1,BAKERY,5017.0
25,627,Friday,7874237006.0,1,GROCERY DRY GOODS,4201.0
25,627,Friday,7685572072.0,1,PHARMACY OTC,1760.0
25,627,Friday,4300005789.0,1,GROCERY DRY GOODS,30.0
25,627,Friday,880616000000.0,1,LADIESWEAR,610.0
7,630,Friday,20108700000.0,1,SERVICE DELI,8014.0
7,630,Friday,20108800000.0,1,SERVICE DELI,8014.0
7,647,Friday,78533176072.0,1,PRE PACKED DELI,7557.0
7,647,Friday,7367504223.0,1,PRE PACKED DELI,7550.0
7,647,Friday,2956810074.0,1,DSD GROCERY,3706.0
7,669,Friday,68113106762.0,1,SERVICE DELI,4010.0
7,669,Friday,20108700000.0,1,SERVICE DELI,8014.0
38,690,Friday,2550020029.0,2,GROCERY DRY GOODS,3309.0
38,690,Friday,2100000794.0,1,DAIRY,7957.0
38,690,Friday,60538871457.0,1,DAIRY,9100.0
38,690,Friday,4060034500.0,1,DAIRY,1252.0
38,690,Friday,60538818717.0,1,DAIRY,1503.0
38,690,Friday,7874235200.0,1,DAIRY,1515.0
38,690,Friday,7962146100.0,1,PRE PACKED DELI,7203.0
38,690,Friday,5100012939.0,1,GROCERY DRY GOODS,3130.0
38,690,Friday,7341013959.0,1,COMM BREAD,3701.0
38,690,Friday,4072.0,1,PRODUCE,4170.0
38,690,Friday,4166.0,1,PRODUCE,4038.0
38,690,Friday,4611.0,1,PRODUCE,4060.0
38,690,Friday,8520000114.0,1,"LIQUOR,WINE,BEER",3452.0
7,721,Friday,5100001588.0,1,GROCERY DRY GOODS,2401.0
7,721,Friday,7874203868.0,2,GROCERY DRY GOODS,4451.0
38,731,Friday,2430004416.0,1,COMM BREAD,3707.0
38,731,Friday,88309618413.0,1,BOYS WEAR,6505.0
38,731,Friday,2200001749.0,1,IMPULSE MERCHANDISE,135.0
38,731,Friday,7225003706.0,1,COMM BREAD,3702.0
38,731,Friday,68113178113.0,3,DSD GROCERY,9214.0
38,731,Friday,2430003107.0,1,COMM BREAD,3708.0
38,731,Friday,7203001339.0,1,COMM BREAD,3723.0
38,731,Friday,1600045932.0,1,GROCERY DRY GOODS,3600.0
38,731,Friday,7874298620.0,2,BAKERY,7024.0
38,731,Friday,1305146831.0,1,CELEBRATION,70.0
25,736,Friday,5330005200.0,1,MENS WEAR,2111.0
25,736,Friday,88766191487.0,1,JEWELRY AND SUNGLASSES,4150.0
25,736,Friday,88773862964.0,1,MENSWEAR,6344.0
25,736,Friday,4261.0,1,PRODUCE,5830.0
7,760,Friday,20108800000.0,1,SERVICE DELI,8014.0
25,772,Friday,2120045844.0,1,IMPULSE MERCHANDISE,337.0
25,772,Friday,695334000000.0,1,ACCESSORIES,122.0
25,772,Friday,73975429798.0,1,MENS WEAR,1236.0
7,800,Friday,20216200000.0,2,MEAT - FRESH & FROZEN,6075.0
7,800,Friday,20265400000.0,1,MEAT - FRESH & FROZEN,6038.0
7,800,Friday,22484200000.0,1,MEAT - FRESH & FROZEN,6038.0
7,800,Friday,7874242957.0,1,GROCERY DRY GOODS,2151.0
7,802,Friday,88831397180.0,1,PRE PACKED DELI,7503.0
7,802,Friday,2733100023.0,1,COMM BREAD,3734.0
7,802,Friday,7763306576.0,1,COMM BREAD,3725.0
7,802,Friday,5200010245.0,1,DSD GROCERY,4607.0
25,826,Friday,73181061010.0,1,HOME MANAGEMENT,8124.0
25,826,Friday,880632000000.0,1,LADIESWEAR,313.0
25,826,Friday,84410600805.0,1,OFFICE SUPPLIES,6015.0
25,826,Friday,9933894244.0,1,LADIESWEAR,1180.0
38,852,Friday,75379200201.0,1,DSD GROCERY,4639.0
38,852,Friday,7225002129.0,1,COMM BREAD,3719.0
38,852,Friday,3500076379.0,1,PERSONAL CARE,203.0
38,852,Friday,4166.0,1,PRODUCE,4038.0
7,885,Friday,4470003095.0,1,PRE PACKED DELI,7554.0
7,885,Friday,22616800000.0,1,MEAT - FRESH & FROZEN,6405.0
7,885,Friday,7146401773.0,1,PRODUCE,7131.0
7,885,Friday,3800039138.0,1,GROCERY DRY GOODS,3600.0
7,885,Friday,7763304737.0,1,COMM BREAD,3701.0
7,885,Friday,1450001158.0,1,FROZEN FOODS,1750.0
7,906,Friday,1590014063.0,1,PRE PACKED DELI,7503.0
7,906,Friday,2898956910.0,1,FROZEN FOODS,1908.0
7,906,Friday,7874208830.0,1,HOUSEHOLD PAPER GOODS,5010.0
7,906,Friday,7874208866.0,2,MEAT - FRESH & FROZEN,6590.0
7,906,Friday,2840000308.0,1,DSD GROCERY,3658.0
7,906,Friday,6827473529.0,1,DSD GROCERY,2351.0
7,906,Friday,7874235325.0,2,DAIRY,7958.0
7,906,Friday,7874209728.0,1,COMM BREAD,3717.0
7,906,Friday,4900002891.0,2,DSD GROCERY,9515.0
7,906,Friday,1300000986.0,1,GROCERY DRY GOODS,2302.0
7,906,Friday,4900002890.0,2,DSD GROCERY,9515.0
7,906,Friday,7874209728.0,2,COMM BREAD,3717.0
7,906,Friday,7874222375.0,1,COMM BREAD,3716.0
25,943,Friday,1600045850.0,1,GROCERY DRY GOODS,4052.0
25,943,Friday,880632000000.0,1,LADIESWEAR,313.0
25,943,Friday,880632000000.0,1,LADIESWEAR,313.0
25,943,Friday,880552000000.0,1,LADIESWEAR,313.0
7,975,Friday,68113107862.0,1,BAKERY,5017.0
7,991,Friday,4440010800.0,1,FROZEN FOODS,2306.0
7,991,Friday,7224013387.0,1,PRODUCE,3105.0
7,991,Friday,3338311010.0,1,PRODUCE,108.0
7,991,Friday,20857100000.0,1,SERVICE DELI,8014.0
7,991,Friday,7047029423.0,1,DAIRY,1344.0
7,991,Friday,20184400000.0,1,SERVICE DELI,7010.0
7,991,Friday,7874298994.0,1,BAKERY,9008.0
7,991,Friday,78035378404.0,1,PRODUCE,3602.0
7,991,Friday,4850001830.0,1,DAIRY,1404.0
7,991,Friday,2100012382.0,1,DAIRY,1352.0
7,991,Friday,7539103278.0,1,SEAFOOD,1078.0
38,1006,Friday,9147563004.0,1,DAIRY,1405.0
38,1006,Friday,7940019892.0,1,PERSONAL CARE,5065.0
38,1006,Friday,7342000015.0,1,DAIRY,1353.0
38,1006,Friday,88513178770.0,1,INFANT CONSUMABLE HARDLINES,1001.0
38,1006,Friday,67293571018.0,2,PERSONAL CARE,404.0
38,1006,Friday,3663202809.0,1,DAIRY,1443.0
38,1006,Friday,4400003211.0,3,IMPULSE MERCHANDISE,804.0
38,1006,Friday,3600034333.0,1,PERSONAL CARE,3063.0
38,1006,Friday,68113109035.0,1,INFANT CONSUMABLE HARDLINES,1008.0
38,1006,Friday,3783608457.0,1,PERSONAL CARE,8101.0
7,1012,Friday,7874237386.0,2,MEAT - FRESH & FROZEN,1904.0
7,1012,Friday,2032300514.0,1,MEAT - FRESH & FROZEN,6552.0
7,1012,Friday,3940001594.0,1,GROCERY DRY GOODS,2828.0
7,1012,Friday,7874237147.0,1,GROCERY DRY GOODS,3818.0
7,1012,Friday,7778200797.0,1,MEAT - FRESH & FROZEN,6301.0
7,1012,Friday,1111587132.0,1,DAIRY,1251.0
7,1012,Friday,1090000021.0,1,HOUSEHOLD PAPER GOODS,6660.0
7,1012,Friday,4650073333.0,1,HOUSEHOLD CHEMICALS/SUPP,8910.0
25,1018,Friday,5107102753.0,1,MENS WEAR,1632.0
25,1018,Friday,88844272952.0,1,MENSWEAR,6360.0
25,1018,Friday,31284306132.0,1,PHARMACY OTC,2019.0
25,1018,Friday,7631430202.0,1,PHARMACY OTC,1003.0
25,1018,Friday,32586656000.0,1,PHARMACY OTC,2015.0
7,1021,Friday,7874299074.0,1,BAKERY,1011.0
7,1021,Friday,2840042062.0,1,IMPULSE MERCHANDISE,808.0
7,1021,Friday,7007782050.0,1,FROZEN FOODS,6504.0
25,1028,Friday,88496806713.0,1,LADIESWEAR,267.0
25,1028,Friday,68113107897.0,1,PETS AND SUPPLIES,1835.0
25,1028,Friday,88496806698.0,1,LADIESWEAR,267.0
25,1028,Friday,880552000000.0,1,PLUS AND MATERNITY,377.0
25,1028,Friday,88496807131.0,1,LADIESWEAR,267.0
25,1028,Friday,71533943000.0,2,HORTICULTURE AND ACCESS,8814.0
7,1029,Friday,20108700000.0,1,SERVICE DELI,8014.0
7,1044,Friday,7261345415.0,1,HOUSEHOLD CHEMICALS/SUPP,735.0
7,1044,Friday,2370003764.0,1,MEAT - FRESH & FROZEN,6069.0
7,1044,Friday,7315015223.0,1,PRODUCE,7603.0
7,1093,Friday,20553800000.0,1,SERVICE DELI,8015.0
7,1142,Friday,68113106758.0,1,SERVICE DELI,4010.0
7,1142,Friday,72783385450.0,2,JEWELRY AND SUNGLASSES,8804.0
7,1142,Friday,72783385464.0,1,JEWELRY AND SUNGLASSES,8804.0
7,1142,Friday,7874209728.0,2,COMM BREAD,3717.0
7,1142,Friday,68113138748.0,1,PRODUCE,6801.0
7,1142,Friday,4470000063.0,2,PRE PACKED DELI,7502.0
7,1142,Friday,68670010124.0,1,DSD GROCERY,3625.0
7,1142,Friday,4011.0,1,PRODUCE,5501.0
7,1142,Friday,7232011331.0,1,DSD GROCERY,2754.0
7,1142,Friday,7460909305.0,1,GROCERY DRY GOODS,2351.0
7,1142,Friday,20169100000.0,2,MEAT - FRESH & FROZEN,6570.0
7,1142,Friday,2840037297.0,1,DSD GROCERY,9275.0
7,1176,Friday,20108800000.0,1,SERVICE DELI,8014.0
7,1178,Friday,20613900000.0,3,BAKERY,5004.0
7,1178,Friday,25047000000.0,2,BAKERY,5024.0
7,1178,Friday,20169100000.0,2,MEAT - FRESH & FROZEN,6570.0
7,1178,Friday,20619900000.0,1,BAKERY,9002.0
7,1184,Friday,20108700000.0,1,SERVICE DELI,8014.0
7,1184,Friday,80413430856.0,1,ACCESSORIES,121.0
7,1184,Friday,2430086592.0,1,COMM BREAD,2286.0
38,1187,Friday,7102212503.0,1,DSD GROCERY,4675.0
38,1187,Friday,7046243123.0,1,"CANDY, TOBACCO, COOKIES",707.0
38,1187,Friday,2840033579.0,1,DSD GROCERY,8251.0
38,1187,Friday,60538871457.0,1,DAIRY,9100.0
38,1187,Friday,68113145745.0,1,PRODUCE,6805.0
38,1187,Friday,22093900000.0,1,MEAT - FRESH & FROZEN,4150.0
38,1187,Friday,7874200725.0,1,PERSONAL CARE,4092.0
38,1187,Friday,3800059661.0,1,GROCERY DRY GOODS,3555.0
38,1187,Friday,1600043471.0,1,GROCERY DRY GOODS,3600.0
38,1187,Friday,5200001122.0,1,GROCERY DRY GOODS,2829.0
38,1187,Friday,7339001404.0,1,IMPULSE MERCHANDISE,135.0
38,1187,Friday,3400044262.0,1,"CANDY, TOBACCO, COOKIES",74.0
38,1187,Friday,5000034934.0,1,GROCERY DRY GOODS,3306.0
38,1187,Friday,2550000088.0,1,GROCERY DRY GOODS,3304.0
38,1187,Friday,4812113806.0,1,COMM BREAD,3720.0
38,1187,Friday,8660000008.0,1,GROCERY DRY GOODS,2907.0
38,1187,Friday,1657194035.0,2,DSD GROCERY,3858.0
38,1187,Friday,3338353010.0,1,PRODUCE,4110.0
38,1187,Friday,4470000878.0,1,PRE PACKED DELI,7557.0
7,1188,Friday,20580000000.0,1,SERVICE DELI,8016.0
7,1188,Friday,22628200000.0,1,SERVICE DELI,8013.0
25,1243,Friday,5107102759.0,1,MENS WEAR,1632.0
25,1243,Friday,980000763.0,1,IMPULSE MERCHANDISE,145.0
25,1243,Friday,5107182218.0,1,MENS WEAR,1632.0
7,1251,Friday,2820031002.0,1,"CANDY, TOBACCO, COOKIES",8018.0
7,1251,Friday,20108700000.0,1,SERVICE DELI,8014.0
7,1252,Friday,1380010072.0,2,FROZEN FOODS,1901.0
7,1252,Friday,1380010201.0,1,FROZEN FOODS,1901.0
7,1252,Friday,4650073332.0,1,HOUSEHOLD CHEMICALS/SUPP,8910.0
7,1279,Friday,7800008340.0,1,DSD GROCERY,9548.0
7,1279,Friday,20108800000.0,1,SERVICE DELI,8014.0
25,1298,Friday,88870812071.0,1,MENS WEAR,8538.0
25,1298,Friday,8265750080.0,1,DSD GROCERY,9203.0
25,1298,Friday,88530600006.0,1,MENS WEAR,5142.0
25,1298,Friday,4032618591.0,1,MENS WEAR,1556.0
25,1298,Friday,87897100000.0,1,PERSONAL CARE,5230.0
25,1298,Friday,4282561249.0,1,MENS WEAR,8313.0
25,1298,Friday,3426446425.0,1,COOK AND DINE,579.0
25,1298,Friday,88530626743.0,1,MENS WEAR,5701.0
25,1298,Friday,88530600775.0,1,MENS WEAR,5207.0
38,1306,Friday,1200080994.0,1,DSD GROCERY,9516.0
38,1306,Friday,68670010132.0,1,DSD GROCERY,3625.0
38,1306,Friday,60538871461.0,1,DAIRY,9101.0
38,1306,Friday,7282017092.0,2,DAIRY,7978.0
38,1306,Friday,7800008216.0,1,DSD GROCERY,9517.0
38,1306,Friday,37811201103.0,1,PHARMACY OTC,1104.0
38,1306,Friday,3663205590.0,1,DAIRY,1443.0
38,1306,Friday,68670010123.0,1,DSD GROCERY,3625.0
38,1306,Friday,7874235186.0,1,DAIRY,1508.0
38,1306,Friday,1200080996.0,1,DSD GROCERY,9516.0
38,1306,Friday,2733100625.0,2,DAIRY,7962.0
38,1306,Friday,7432300583.0,1,COMM BREAD,3724.0
38,1306,Friday,7874235187.0,1,DAIRY,1508.0
38,1306,Friday,7940040557.0,1,PERSONAL CARE,5023.0
38,1306,Friday,2172460295.0,1,DAIRY,9085.0
38,1306,Friday,68113106996.0,1,PERSONAL CARE,1403.0
25,1307,Friday,7871546715.0,1,"GIRLS WEAR, 4-6X  AND 7-14",164.0
25,1307,Friday,88811318615.0,1,LADIESWEAR,4384.0
25,1307,Friday,82043616011.0,1,"GIRLS WEAR, 4-6X  AND 7-14",5737.0
25,1307,Friday,82043616021.0,1,"GIRLS WEAR, 4-6X  AND 7-14",5737.0
25,1307,Friday,8669427095.0,1,"GIRLS WEAR, 4-6X  AND 7-14",7254.0
25,1307,Friday,880632000000.0,1,LADIESWEAR,286.0
25,1307,Friday,7871546710.0,1,"GIRLS WEAR, 4-6X  AND 7-14",164.0
7,1316,Friday,4000000405.0,1,IMPULSE MERCHANDISE,115.0
7,1316,Friday,7774529186.0,1,PRODUCE,7045.0
7,1316,Friday,2840008773.0,2,IMPULSE MERCHANDISE,801.0
7,1316,Friday,4133500079.0,1,GROCERY DRY GOODS,2453.0
7,1317,Friday,7874209728.0,3,COMM BREAD,3717.0
7,1317,Friday,7225000486.0,10,COMM BREAD,3725.0
38,1362,Friday,5000029263.0,2,PETS AND SUPPLIES,1436.0
38,1362,Friday,4510006074.0,1,DSD GROCERY,2536.0
38,1362,Friday,5000029261.0,4,PETS AND SUPPLIES,1436.0
38,1362,Friday,5000042904.0,4,PETS AND SUPPLIES,1436.0
38,1362,Friday,6843738971.0,1,"CANDY, TOBACCO, COOKIES",72.0
38,1362,Friday,5000057845.0,4,PETS AND SUPPLIES,1436.0
38,1362,Friday,61126999100.0,1,DSD GROCERY,3467.0
38,1362,Friday,5000058004.0,4,PETS AND SUPPLIES,1436.0
38,1362,Friday,5100019280.0,1,DSD GROCERY,4653.0
38,1362,Friday,2100061531.0,1,GROCERY DRY GOODS,4601.0
38,1362,Friday,5000042984.0,2,PETS AND SUPPLIES,1436.0
38,1362,Friday,60538871459.0,1,DAIRY,9128.0
7,1366,Friday,20108800000.0,1,SERVICE DELI,8014.0
7,1366,Friday,4182080795.0,1,SERVICE DELI,5020.0
7,1381,Friday,1312000800.0,1,FROZEN FOODS,1801.0
7,1381,Friday,20220400000.0,1,MEAT - FRESH & FROZEN,6076.0
7,1381,Friday,20184400000.0,1,SERVICE DELI,7010.0
7,1381,Friday,4900005537.0,1,DSD GROCERY,9556.0
7,1381,Friday,1410007187.0,1,COMM BREAD,3704.0
7,1390,Friday,68113106762.0,1,SERVICE DELI,4010.0
7,1390,Friday,22628200000.0,1,SERVICE DELI,8013.0
7,1390,Friday,20184400000.0,1,SERVICE DELI,7010.0
7,1436,Friday,7464100974.0,1,PRODUCE,5996.0
7,1436,Friday,68113191699.0,1,SERVICE DELI,7100.0
7,1436,Friday,81390500297.0,1,SERVICE DELI,7100.0
7,1436,Friday,4046.0,1,PRODUCE,5620.0
25,1458,Friday,8520000115.0,3,"LIQUOR,WINE,BEER",3452.0
25,1458,Friday,88309608554.0,1,MENS WEAR,5662.0
7,1459,Friday,7432309090.0,2,COMM BREAD,3701.0
