VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
3734,Friday,88491201427,1,GROCERY DRY GOODS,3555
3812,Friday,3338365101,1,PRODUCE,7502
3888,Friday,4900002890,1,DSD GROCERY,9515
3901,Friday,1630016566,1,DAIRY,1404
3901,Friday,7874208014,1,MEAT - FRESH & FROZEN,6106
3910,Friday,4650073332,1,HOUSEHOLD CHEMICALS/SUPP,8910
3912,Friday,65876136801,1,MEAT - FRESH & FROZEN,6074
4025,Friday,60538808838,1,SHOES,1620
4212,Friday,4812129208,1,COMM BREAD,3719
4262,Friday,8.80614E+11,1,LADIESWEAR,324
4287,Friday,30869157810,1,PERSONAL CARE,3040
4287,Friday,68113105236,1,PERSONAL CARE,3071
4445,Friday,7874235186,1,DAIRY,1508
4452,Friday,8.80616E+11,1,LADIESWEAR,323
4461,Friday,4850000818,1,DAIRY,1404
4461,Friday,7146401753,1,PRODUCE,7916
4633,Friday,68113103947,1,SERVICE DELI,4075
4717,Friday,31074209881,1,PHARMACY OTC,2043
4852,Friday,7056083155,1,FROZEN FOODS,1752
4852,Friday,4400003211,1,IMPULSE MERCHANDISE,804
4900,Friday,3940001612,1,GROCERY DRY GOODS,2827
4900,Friday,7294560146,1,COMM BREAD,3704
4955,Friday,4138309036,1,DAIRY,1505
4961,Friday,3706410800,1,PAINT AND ACCESSORIES,4203
5034,Friday,68755430186,1,SEASONAL,2300
5132,Friday,78241900451,1,"GIRLS WEAR, 4-6X  AND 7-14",1458
5244,Friday,25087400000,1,SERVICE DELI,7010
5282,Friday,82043617272,1,"GIRLS WEAR, 4-6X  AND 7-14",3254
5286,Friday,3700088234,1,HOUSEHOLD PAPER GOODS,1006
5348,Friday,4282561275,1,MENS WEAR,8226
5349,Friday,7432309230,1,COMM BREAD,3770
5350,Friday,81547301466,1,DAIRY,7978
5350,Friday,1284409967,1,AUTOMOTIVE,253
5493,Friday,4900004579,1,DSD GROCERY,4611
5496,Friday,7192159013,1,FROZEN FOODS,9116
5535,Friday,20154500000,1,SERVICE DELI,8001
5548,Friday,7667710033,1,IMPULSE MERCHANDISE,804
5552,Friday,7603167783,2,MENS WEAR,5117
5564,Friday,5527095652,5,GROCERY DRY GOODS,3030
5606,Friday,2898997110,2,FROZEN FOODS,2101
5620,Friday,60538818790,1,DAIRY,7955
5620,Friday,7874235201,1,DAIRY,1515
5620,Friday,7373107107,1,COMM BREAD,3734
5744,Friday,3663203646,1,DAIRY,1443
5794,Friday,5107128815,1,BOYS WEAR,571
5854,Friday,85305300223,1,OPTICAL - FRAMES,5008
5854,Friday,1131174448,1,LADIESWEAR,319
5856,Friday,1111161424,1,PERSONAL CARE,3181
5883,Friday,7874298690,1,BAKERY,5024
5950,Friday,4145706526,1,PERSONAL CARE,5128
5989,Friday,30573193751,1,IMPULSE MERCHANDISE,338
6079,Friday,22093300000,1,MEAT - FRESH & FROZEN,1301
6103,Friday,71785447001,1,FROZEN FOODS,1901
6413,Saturday,88491200245,1,GROCERY DRY GOODS,3600
6413,Saturday,3800057608,1,GROCERY DRY GOODS,3600
6888,Saturday,2265571584,1,MEAT - FRESH & FROZEN,6158
6889,Saturday,7341013959,1,COMM BREAD,3701
7016,Saturday,4850020103,2,DAIRY,1402
7058,Saturday,1480000082,1,GROCERY DRY GOODS,2763
7433,Saturday,2500005278,1,DAIRY,1407
7433,Saturday,3663200976,1,DAIRY,1345
7445,Saturday,7146430152,1,PRODUCE,7131
7700,Saturday,2840042053,1,IMPULSE MERCHANDISE,808
7730,Saturday,7874235201,1,DAIRY,1515
7789,Saturday,69922162117,2,COMM BREAD,3729
7892,Saturday,7874237336,1,GROCERY DRY GOODS,2453
7892,Saturday,4022,1,PRODUCE,2005
7892,Saturday,68113132893,1,PRODUCE,7001
7995,Saturday,61126917452,1,DSD GROCERY,3467
8048,Saturday,3800031310,1,GROCERY DRY GOODS,3504
8086,Saturday,7566910240,1,GROCERY DRY GOODS,2708
8204,Saturday,61884220464,1,HOME MANAGEMENT,7118
8204,Saturday,4319416160,1,PERSONAL CARE,5103
8217,Saturday,66572108586,1,BATH AND SHOWER,1505
8226,Saturday,4.89397E+11,1,MENS WEAR,262
8226,Saturday,4774153285,1,MENSWEAR,6334
8277,Saturday,8123819852,1,HOUSEHOLD CHEMICALS/SUPP,3610
8354,Saturday,2733100217,1,DAIRY,7962
8371,Saturday,88692982342,1,LADIESWEAR,1720
8494,Saturday,7874204880,1,HOUSEHOLD PAPER GOODS,5550
8665,Saturday,7208000210,1,DSD GROCERY,4552
8665,Saturday,1630016566,1,DAIRY,1404
8742,Saturday,8.80632E+11,1,LADIESWEAR,312
8861,Saturday,4032678167,1,BOYS WEAR,383
8861,Saturday,88295696201,1,BOYS WEAR,5534
8899,Saturday,7766112511,1,PRODUCE,7123
8927,Saturday,61286295556,1,LADIESWEAR,9189
8976,Saturday,4800121338,1,GROCERY DRY GOODS,2452
9086,Saturday,1966300992,1,PERSONAL CARE,6129
9441,Saturday,3700011714,1,PHARMACY OTC,250
9492,Saturday,3663202630,1,DAIRY,1430
9572,Saturday,7874235186,1,DAIRY,1508
9572,Saturday,5200033905,1,DSD GROCERY,4606
9602,Saturday,88828940190,1,PRODUCE,1221
9602,Saturday,1450001100,2,FROZEN FOODS,1750
9705,Saturday,7590000530,1,SERVICE DELI,4056
9721,Saturday,4032647745,1,MENS WEAR,1081
9721,Saturday,5107114044,1,MENS WEAR,7200
9721,Saturday,76125378614,1,MENS WEAR,2505
9839,Saturday,1292625245,1,SHOES,3342
9946,Saturday,3800032753,1,GROCERY DRY GOODS,3504
9956,Saturday,85894400236,1,HOME DECOR,5575
9977,Saturday,2700038010,2,GROCERY DRY GOODS,2832
10080,Saturday,7440500986,1,HOUSEHOLD CHEMICALS/SUPP,7010
10083,Saturday,7047000302,1,DAIRY,1351
10083,Saturday,7047027756,1,DAIRY,1343
10127,Saturday,4178900121,2,GROCERY DRY GOODS,3120
10127,Saturday,68113174355,1,DAIRY,9107
10186,Saturday,3338311502,1,PRODUCE,702
10305,Saturday,72201100004,1,BOOKS AND MAGAZINES,777
10358,Saturday,78471699998,2,SHEER HOSIERY,2780
10372,Saturday,7874209197,1,GROCERY DRY GOODS,2302
10372,Saturday,2840000210,2,DSD GROCERY,9266
10373,Saturday,88561515933,1,BRAS & SHAPEWEAR,2207
10589,Saturday,88309620094,1,MENS WEAR,8248
10607,Saturday,80469179791,1,SWIMWEAR/OUTERWEAR,298
10607,Saturday,8.80616E+11,1,LADIESWEAR,2048
10788,Saturday,7047000321,4,DAIRY,1351
10836,Saturday,4280011500,1,FROZEN FOODS,1951
10959,Saturday,84768710169,1,SWIMWEAR/OUTERWEAR,214
10998,Saturday,7192194947,1,FROZEN FOODS,9115
10998,Saturday,2389617860,1,DSD GROCERY,3650
11010,Saturday,75623378690,2,LAWN AND GARDEN,633
11010,Saturday,2746722408,1,INFANT APPAREL,1204
11018,Saturday,3980009909,1,IMPULSE MERCHANDISE,905
11058,Saturday,7874235186,1,DAIRY,1508
11142,Saturday,7600137688,1,HOME DECOR,5559
11228,Saturday,74236526415,1,DAIRY,1510
11294,Saturday,4280010800,1,FROZEN FOODS,1951
11375,Saturday,2622946022,3,OFFICE SUPPLIES,6129
11375,Saturday,2840043318,1,IMPULSE MERCHANDISE,808
11375,Saturday,2622976120,3,OFFICE SUPPLIES,6129
11558,Saturday,5217613975,1,MENS WEAR,1651
11590,Saturday,2840004179,2,IMPULSE MERCHANDISE,807
11818,Saturday,4011,2,PRODUCE,5501
11935,Saturday,8.80616E+11,1,LADIESWEAR,610
11936,Saturday,9933894184,1,LADIESWEAR,1180
12162,Saturday,81655901077,1,PERSONAL CARE,5520
12201,Saturday,7278510678,2,PHARMACY OTC,3732
12201,Saturday,71846731769,1,"GIRLS WEAR, 4-6X  AND 7-14",361
12201,Saturday,78665824325,1,"GIRLS WEAR, 4-6X  AND 7-14",3355
12211,Saturday,74236526425,1,DAIRY,1510
12330,Saturday,2200000769,1,IMPULSE MERCHANDISE,145
12430,Saturday,73639320321,1,GROCERY DRY GOODS,2810
12520,Saturday,7256232729,1,FROZEN FOODS,6300
12721,Saturday,7874205333,4,FROZEN FOODS,1752
12721,Saturday,7874237389,5,FROZEN FOODS,1752
12721,Saturday,7874209218,3,GROCERY DRY GOODS,2831
12732,Saturday,88295696281,1,BOYS WEAR,5516
12831,Saturday,72654751927,1,LADIESWEAR,391
12887,Saturday,1254600191,1,IMPULSE MERCHANDISE,135
12887,Saturday,2500005126,1,DAIRY,1407
12958,Sunday,7874214599,1,GROCERY DRY GOODS,2502
12967,Sunday,4650073332,1,HOUSEHOLD CHEMICALS/SUPP,8910
13173,Sunday,5000096004,1,PETS AND SUPPLIES,1946
13260,Sunday,2840042177,1,DSD GROCERY,9257
13340,Sunday,6414404322,1,GROCERY DRY GOODS,3005
13356,Sunday,68113168755,1,PHARMACY OTC,3533
13368,Sunday,4900002470,2,DSD GROCERY,3042
13368,Sunday,7874208294,2,DAIRY,1405
13411,Sunday,2800008140,2,"CANDY, TOBACCO, COOKIES",521
13493,Sunday,5200032868,1,DSD GROCERY,4606
13593,Sunday,88851063248,1,"GIRLS WEAR, 4-6X  AND 7-14",125
13632,Sunday,73651154066,1,AUTOMOTIVE,900
13632,Sunday,20216200000,1,MEAT - FRESH & FROZEN,6075
13752,Sunday,7874298690,1,BAKERY,5024
13769,Sunday,4011,1,PRODUCE,5501
13787,Sunday,7874222816,1,GROCERY DRY GOODS,3557
13787,Sunday,3450015184,1,DAIRY,1202
13884,Sunday,4393569123,2,MENS WEAR,5203
13884,Sunday,4393556051,3,MENS WEAR,5160
13960,Sunday,78035378403,1,PRODUCE,3601
14134,Sunday,2924300006,3,GROCERY DRY GOODS,2997
14143,Sunday,1200050406,1,DSD GROCERY,9509
14196,Sunday,7120217110,2,FROZEN FOODS,2003
14203,Sunday,2840004179,1,IMPULSE MERCHANDISE,807
14216,Sunday,4000000405,1,IMPULSE MERCHANDISE,115
14295,Sunday,73975429806,2,MENS WEAR,1236
14295,Sunday,85520800414,1,AUTOMOTIVE,4035
14359,Sunday,5040073954,1,COMM BREAD,3704
14373,Sunday,71533916001,1,HORTICULTURE AND ACCESS,8720
14391,Sunday,88491201426,1,GROCERY DRY GOODS,3555
14436,Sunday,64541671806,1,CELEBRATION,801
14463,Sunday,71660511941,1,SLEEPWEAR/FOUNDATIONS,3381
14653,Sunday,22680600000,1,MEAT - FRESH & FROZEN,6568
14830,Sunday,2200000899,1,IMPULSE MERCHANDISE,135
14844,Sunday,2775501267,1,OFFICE SUPPLIES,4606
14986,Sunday,7874202060,1,DAIRY,1510
15016,Sunday,88694429736,1,SLEEPWEAR/FOUNDATIONS,1287
15036,Sunday,20966500000,1,SERVICE DELI,7010
15036,Sunday,22500900000,1,SERVICE DELI,8027
15037,Sunday,84894006592,1,LADIESWEAR,4742
15037,Sunday,72097248224,1,"GIRLS WEAR, 4-6X  AND 7-14",561
15222,Sunday,7874201228,1,COMM BREAD,3712
15412,Sunday,3760008193,1,PRE PACKED DELI,7201
15600,Sunday,3100010126,2,FROZEN FOODS,9704
15621,Sunday,5210015650,1,GROCERY DRY GOODS,6806
15807,Sunday,4650073339,2,HOUSEHOLD CHEMICALS/SUPP,8910
15815,Sunday,2220093008,2,PERSONAL CARE,60
15815,Sunday,4460001204,1,HOUSEHOLD CHEMICALS/SUPP,52
15940,Sunday,2970000141,1,GROCERY DRY GOODS,3031
15945,Sunday,7800008216,1,DSD GROCERY,9517
15977,Sunday,4670404940,2,FROZEN FOODS,9705
16063,Sunday,20966500000,1,SERVICE DELI,7010
16264,Sunday,78101334107,1,PLUS AND MATERNITY,1230
16360,Sunday,72326168946,1,SHOES,4820
16499,Sunday,3151,1,PRODUCE,7801
16499,Sunday,7874243448,1,DSD GROCERY,1108
16499,Sunday,7874222971,1,DSD GROCERY,1108
16510,Sunday,80469197146,1,SWIMWEAR/OUTERWEAR,321
16515,Sunday,1740010505,1,GROCERY DRY GOODS,3804
16597,Sunday,72097247947,2,"GIRLS WEAR, 4-6X  AND 7-14",550
16659,Sunday,3800039138,1,GROCERY DRY GOODS,3600
16842,Sunday,1480064642,1,DSD GROCERY,4644
16926,Sunday,8259272015,1,PRODUCE,7953
16964,Sunday,4.89397E+11,1,"GIRLS WEAR, 4-6X  AND 7-14",215
17037,Sunday,68113102601,1,HOUSEHOLD PAPER GOODS,5030
17081,Sunday,4900000790,1,DSD GROCERY,4611
17119,Sunday,4280040255,1,FROZEN FOODS,1953
17224,Sunday,7874203524,2,DSD GROCERY,9220
17298,Sunday,4133112437,2,GROCERY DRY GOODS,4290
17353,Sunday,3421,1,PRODUCE,6425
17377,Sunday,7874211433,1,DSD GROCERY,3502
17385,Sunday,4082202754,1,SERVICE DELI,3011
17466,Sunday,7524323502,1,FROZEN FOODS,1854
17543,Sunday,3800040340,1,FROZEN FOODS,2112
17556,Sunday,4011,1,PRODUCE,5501
17573,Sunday,76705282625,1,SLEEPWEAR/FOUNDATIONS,7138
17656,Sunday,4180027100,1,DSD GROCERY,4640
17731,Sunday,74759962151,1,"CANDY, TOBACCO, COOKIES",84
17884,Sunday,5200032555,1,DSD GROCERY,4606
17928,Sunday,8.80875E+11,1,"GIRLS WEAR, 4-6X  AND 7-14",160
17942,Sunday,82831087,1,MENS WEAR,1521
17942,Sunday,31101766317,1,PHARMACY OTC,3700
17942,Sunday,5107179367,1,MENS WEAR,211
17947,Sunday,3139820825,1,MEDIA AND GAMING,9257
18064,Sunday,88616688028,1,"GIRLS WEAR, 4-6X  AND 7-14",2042
18064,Sunday,8.80632E+11,1,"GIRLS WEAR, 4-6X  AND 7-14",254
18064,Sunday,66215830791,1,"GIRLS WEAR, 4-6X  AND 7-14",3257
18095,Sunday,4051,1,PRODUCE,5701
18095,Sunday,5020055110,1,DAIRY,1407
18251,Sunday,7874235202,2,DAIRY,1515
18342,Sunday,1600041077,1,GROCERY DRY GOODS,3600
18379,Sunday,68670010124,2,DSD GROCERY,3625
18385,Sunday,8171572614,1,BOYS WEAR,6103
18398,Sunday,7225004319,1,COMM BREAD,3702
18406,Sunday,4693,1,PRODUCE,4450
18525,Sunday,4312,1,PRODUCE,5703
18843,Sunday,5107139726,1,MENS WEAR,7200
18932,Sunday,4589307224,1,BEAUTY,4010
18960,Sunday,7099001320,1,DAIRY,1251
19054,Sunday,4300006346,1,GROCERY DRY GOODS,3308
19097,Sunday,4321364670,1,BRAS & SHAPEWEAR,2799
19152,Sunday,4900003076,1,DSD GROCERY,3000
19152,Sunday,2500005819,2,DSD GROCERY,3000
19286,Sunday,7603183820,1,MENS WEAR,5207
19290,Sunday,71514151464,1,DAIRY,9114
19323,Sunday,7225003712,2,COMM BREAD,3710
19352,Sunday,7603176117,1,MENS WEAR,5817
19481,Sunday,1254600606,1,IMPULSE MERCHANDISE,135
19498,Sunday,7874235188,1,DAIRY,1508
19526,Sunday,4400003213,1,IMPULSE MERCHANDISE,804
19589,Sunday,7874207701,1,FROZEN FOODS,1853
19616,Sunday,7874235186,1,DAIRY,1508
19624,Sunday,7874235186,1,DAIRY,1508
19676,Sunday,7225001739,1,COMM BREAD,3701
19680,Sunday,6414404306,1,GROCERY DRY GOODS,3005
19691,Sunday,81829001391,1,DAIRY,1450
19692,Sunday,7482064545,1,BOOKS AND MAGAZINES,8203
19709,Monday,7874211700,1,DAIRY,1404
19728,Monday,3100030744,1,FROZEN FOODS,4060
19829,Monday,68113106178,1,PHARMACY OTC,2042
19924,Monday,4178900231,1,GROCERY DRY GOODS,3116
19924,Monday,2430004102,2,COMM BREAD,3707
20039,Monday,64600722157,1,BRAS & SHAPEWEAR,135
20128,Monday,8265778540,2,DSD GROCERY,9216
20296,Monday,4850002151,1,DAIRY,1402
20311,Monday,7874235186,1,DAIRY,1508
20317,Monday,1380010340,3,FROZEN FOODS,1901
20317,Monday,63532500622,2,BOYS WEAR,1022
20318,Monday,8.80875E+11,1,LADIESWEAR,320
20318,Monday,81295402047,1,BOYS WEAR,5550
20318,Monday,8.80632E+11,1,LADIESWEAR,848
20431,Monday,2840004327,1,IMPULSE MERCHANDISE,804
20434,Monday,68113132353,1,SERVICE DELI,8017
20457,Monday,7932265549,1,PRODUCE,7802
20566,Monday,71514111356,1,DAIRY,9020
20566,Monday,2100061223,1,DAIRY,7974
20599,Monday,7343500006,2,COMM BREAD,3791
20751,Monday,7457003400,1,FROZEN FOODS,9151
20764,Monday,3760010321,1,PRE PACKED DELI,7208
20805,Monday,8632364017,1,LADIESWEAR,625
20893,Monday,1600027528,1,GROCERY DRY GOODS,3559
20933,Monday,7464100146,1,PRODUCE,5930
21010,Monday,1864346101,1,HOME MANAGEMENT,8103
21038,Monday,7874220164,1,BAKERY,3004
21080,Monday,64541653482,1,CELEBRATION,14
21204,Monday,2100061526,1,DAIRY,7958
21204,Monday,3760035160,1,PRE PACKED DELI,7202
21239,Monday,7800000117,1,DSD GROCERY,9513
21320,Monday,60538862097,1,FINANCIAL SERVICES,0
21409,Monday,88694421013,1,SLEEPWEAR/FOUNDATIONS,1286
21467,Monday,5300000566,1,DAIRY,7958
21484,Monday,81649301005,1,GROCERY DRY GOODS,2995
21484,Monday,4663,1,PRODUCE,4011
21552,Monday,8171572608,1,BOYS WEAR,6103
21628,Monday,3700034885,1,HOUSEHOLD PAPER GOODS,4005
21688,Monday,75103870861,3,MENS WEAR,8156
21700,Monday,2100004175,1,DAIRY,7960
21700,Monday,67811201748,1,PHARMACY OTC,1104
21711,Monday,22012300000,1,MEAT - FRESH & FROZEN,6018
21736,Monday,3500014424,1,PERSONAL CARE,3171
21736,Monday,4740013071,1,PERSONAL CARE,1406
21811,Monday,7524320144,1,FROZEN FOODS,1852
21811,Monday,65876136801,1,MEAT - FRESH & FROZEN,6074
21841,Monday,7962146100,2,PRE PACKED DELI,7203
21928,Monday,60538805622,1,SHOES,8701
22040,Monday,88351564598,2,CELEBRATION,787
22064,Monday,5200033875,1,DSD GROCERY,4606
22064,Monday,5020000880,1,DAIRY,1407
22064,Monday,7524320132,1,FROZEN FOODS,1853
22103,Monday,7874207817,2,GROCERY DRY GOODS,2831
22110,Monday,76101040154,1,PRODUCE,5610
22227,Monday,7874212318,1,MEAT - FRESH & FROZEN,6019
22227,Monday,5210003037,1,GROCERY DRY GOODS,4252
22230,Monday,3500039367,1,HOUSEHOLD CHEMICALS/SUPP,2070
22366,Monday,5100021169,1,GROCERY DRY GOODS,3103
22429,Monday,4000046408,1,"CANDY, TOBACCO, COOKIES",78
22429,Monday,76163520390,1,PRODUCE,3509
22569,Monday,88786028898,1,BOYS WEAR,4102
22616,Monday,3100018042,7,FROZEN FOODS,9704
22727,Monday,1070080727,1,IMPULSE MERCHANDISE,115
22742,Monday,1700012158,1,PERSONAL CARE,3183
22765,Monday,2000000086,2,FROZEN FOODS,1751
22852,Monday,31254742261,1,PERSONAL CARE,801
22861,Monday,68113103599,1,INFANT CONSUMABLE HARDLINES,264
22999,Monday,4.89701E+11,-1,OFFICE SUPPLIES,6145
23013,Monday,7615062301,2,DSD GROCERY,3662
23036,Monday,4369507110,1,FROZEN FOODS,1952
23040,Monday,2100060471,1,DAIRY,7958
23160,Monday,2900000822,1,DAIRY,1251
23199,Monday,7874235186,1,DAIRY,1508
23201,Monday,20501200000,1,SERVICE DELI,8027
23352,Monday,61126999100,1,DSD GROCERY,3467
23445,Monday,4178900143,2,GROCERY DRY GOODS,3120
23452,Monday,3040021650,1,HOUSEHOLD PAPER GOODS,1020
23519,Monday,2529300216,1,DAIRY,1511
23543,Monday,3760008398,2,GROCERY DRY GOODS,2951
23785,Monday,7874212318,1,MEAT - FRESH & FROZEN,6019
23816,Monday,4.71985E+11,1,"GIRLS WEAR, 4-6X  AND 7-14",581
23924,Monday,64600723820,1,BRAS & SHAPEWEAR,126
24051,Monday,60538871457,1,DAIRY,9100
24186,Monday,1326263408,1,"GIRLS WEAR, 4-6X  AND 7-14",800
24186,Monday,8.80552E+11,1,LADIESWEAR,313
24271,Monday,60538871457,1,DAIRY,9100
24337,Monday,22012800000,1,MEAT - FRESH & FROZEN,6042
24344,Monday,7045011484,1,DSD GROCERY,4647
24422,Monday,3338353070,1,PRODUCE,4113
24422,Monday,4800113997,1,GROCERY DRY GOODS,2452
24427,Monday,4958,1,PRODUCE,701
24590,Monday,7648917079,2,BAKERY,5004
24810,Monday,4280000382,1,FROZEN FOODS,1953
24827,Monday,84747300386,2,PRODUCE,1260
24964,Monday,7874207792,1,HOUSEHOLD PAPER GOODS,4005
25121,Monday,68113132896,1,PRODUCE,7070
25121,Monday,7442602000,1,COMM BREAD,3729
25277,Monday,3000004170,1,GROCERY DRY GOODS,3552
25485,Monday,4110080727,1,PHARMACY OTC,1355
25506,Monday,7874211433,1,DSD GROCERY,3502
25521,Monday,4190007319,1,FROZEN FOODS,1854
25538,Monday,5200002190,1,GROCERY DRY GOODS,2828
25560,Monday,7874235190,1,DAIRY,1406
25576,Monday,2931107598,1,MENS WEAR,607
25669,Monday,88309622743,1,MENS WEAR,8033
25673,Monday,60538862128,1,FINANCIAL SERVICES,0
25678,Monday,2500004670,1,DAIRY,1404
25875,Tuesday,4011,1,PRODUCE,5501
25925,Tuesday,4.7137E+11,1,MENS WEAR,5434
25986,Tuesday,20270500000,1,SERVICE DELI,4042
26096,Tuesday,3338353010,1,PRODUCE,4110
26123,Tuesday,3800012290,1,DSD GROCERY,3353
26237,Tuesday,68113132930,2,PRODUCE,6825
26334,Tuesday,2840000092,1,DSD GROCERY,9263
26384,Tuesday,4159,1,PRODUCE,4038
26555,Tuesday,60538871461,1,DAIRY,9101
26629,Tuesday,1254661531,1,IMPULSE MERCHANDISE,135
26791,Tuesday,20609300000,1,SERVICE DELI,8026
26845,Tuesday,4044,1,PRODUCE,2400
26924,Tuesday,68113107095,1,BAKERY,4010
27084,Tuesday,7225001137,1,COMM BREAD,3701
27102,Tuesday,4688,1,PRODUCE,8103
27102,Tuesday,7874237489,1,GROCERY DRY GOODS,4152
27121,Tuesday,20108800000,1,SERVICE DELI,8014
27200,Tuesday,2700039014,1,GROCERY DRY GOODS,2404
27434,Tuesday,2800051575,2,DAIRY,1506
27434,Tuesday,4190007641,1,DAIRY,1516
27453,Tuesday,4011,1,PRODUCE,5501
27492,Tuesday,72097248190,2,"GIRLS WEAR, 4-6X  AND 7-14",560
27503,Tuesday,60538800144,1,DAIRY,9105
27503,Tuesday,4900002890,1,DSD GROCERY,9515
27521,Tuesday,7800001952,1,DSD GROCERY,2485
27530,Tuesday,82179621336,1,MENS WEAR,7140
27645,Tuesday,4087,1,PRODUCE,7803
27690,Tuesday,7033071417,1,PERSONAL CARE,1411
27697,Tuesday,60069900154,1,GROCERY DRY GOODS,4502
27697,Tuesday,7874208586,2,GROCERY DRY GOODS,3555
27917,Tuesday,84583808012,1,OFFICE SUPPLIES,600
27961,Tuesday,4184000106,2,PERSONAL CARE,3110
28020,Tuesday,4190007661,1,DAIRY,1514
28029,Tuesday,4450097650,1,PRE PACKED DELI,7554
28037,Tuesday,4.89397E+11,1,BOYS WEAR,387
28062,Tuesday,88741169059,1,LADIESWEAR,2046
28087,Tuesday,1326261427,1,"GIRLS WEAR, 4-6X  AND 7-14",117
28104,Tuesday,4609455789,1,"GIRLS WEAR, 4-6X  AND 7-14",6097
28167,Tuesday,22921500000,1,BAKERY,8048
28257,Tuesday,7.80465E+11,-2,PRODUCE,2005
28257,Tuesday,7.80465E+11,2,PRODUCE,2005
28355,Tuesday,4133112466,1,GROCERY DRY GOODS,4290
28382,Tuesday,3151,1,PRODUCE,7801
28382,Tuesday,7874211908,1,DAIRY,1353
28458,Tuesday,7874212310,1,MEAT - FRESH & FROZEN,6087
28535,Tuesday,1600027707,1,GROCERY DRY GOODS,3554
28535,Tuesday,7874221205,1,GROCERY DRY GOODS,2764
28556,Tuesday,89010451852,1,BATH AND SHOWER,9920
28684,Tuesday,7874211908,1,DAIRY,1353
28708,Tuesday,7033063418,1,IMPULSE MERCHANDISE,204
28719,Tuesday,4011,1,PRODUCE,5501
28719,Tuesday,20609900000,1,SERVICE DELI,8013
28719,Tuesday,4959,1,PRODUCE,5701
28720,Tuesday,88530625425,1,MENS WEAR,1061
28736,Tuesday,18685200060,1,FROZEN FOODS,9151
28927,Tuesday,3940001606,1,GROCERY DRY GOODS,2827
28933,Tuesday,4065,1,PRODUCE,8101
29386,Tuesday,3800039122,1,GROCERY DRY GOODS,3600
29628,Tuesday,76125377954,1,LADIESWEAR,308
29664,Tuesday,7225003712,1,COMM BREAD,3710
29690,Tuesday,2800008040,1,"CANDY, TOBACCO, COOKIES",521
29690,Tuesday,88561525759,1,BRAS & SHAPEWEAR,360
29800,Tuesday,2100063897,1,DAIRY,7955
29800,Tuesday,20837800000,1,SERVICE DELI,6803
29800,Tuesday,2100063866,1,DAIRY,7955
29800,Tuesday,3338365162,1,PRODUCE,7080
